INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;V916
76;9;;1;6;;3;112,8039703434707
76;9;;1;6;;4;217,0166357907716
76;9;;1;6;;5;285,5235509233577
76;9;;1;6;;6;49,3814695502168
76;9;;1;6;;7;64,4815690131975
76;9;;1;6;;8;30,1115512409309
76;9;;1;6;;9;29,7958545137306
76;9;;1;6;;11;117,1990731730332
76;9;;1;7;;1;4,7047254679707
76;9;;1;7;;2;8,8058149724316
76;9;;1;7;;3;9,5031445230748
76;9;;1;7;;10;1071,9347886736643
76;9;;1;8;;10;3339,8367443383537
76;9;;1;;2;1;45,9865301311746
76;9;;1;;2;2;5154,7051333445746
76;9;;1;;2;3;15352,7939337051056
76;9;;1;;2;4;2373,632526758595
76;9;;1;;2;5;1290,7893166297746
76;9;;1;;2;6;126,7471152583615
76;9;;1;;2;7;158,1600367279136
76;9;;1;;2;8;60,0425125455696
76;9;;1;;2;9;9,6949697946127
76;9;;1;;2;11;4831,5919806791903
76;9;;1;;3;1;4,111123698812
76;9;;1;;3;2;177,7192885698414
76;9;;1;;3;3;1021,0178008612319
76;9;;1;;3;4;710,852193631857
76;9;;1;;3;5;676,2256638919694
76;9;;1;;3;6;179,9109353213877
76;9;;1;;3;7;117,1665599400793
76;9;;1;;3;8;56,4376642503516
76;9;;1;;3;9;54,7287350109051
76;9;;1;;3;11;869,4928242425572
76;9;;1;;4;1;2096,5575195475135
76;9;;1;;4;2;6518,5339770541356
76;9;;1;;4;3;6500,509568209881
76;9;;1;;4;4;737,5121891591467
76;9;;1;;4;5;283,6129928797946
76;9;;1;;4;6;26,6682241663972
76;9;;1;;4;7;42,2842895356855
76;9;;1;;4;10;583,3592970451349
76;9;;1;;4;11;1441,7181526911109
76;9;;2;1;;1;2371,2517049312539
76;9;;2;1;;2;8635,306645530648
76;9;;2;1;;3;7648,4879158646852
76;9;;2;1;;4;944,0730823959127
76;9;;2;1;;5;463,093100101053
76;9;;2;1;;6;68,6966760047722
76;9;;2;1;;7;30,2455937531491
76;9;;2;1;;8;63,0453165637096
76;9;;2;1;;9;19,9412833968197
76;9;;2;1;;10;469,3239189745366
76;9;;2;1;;11;1619,6422019765257
76;9;;2;5;;1;943,0792706222011
76;9;;2;5;;2;1726,7165925622325
76;9;;2;5;;3;1328,9094264769025
76;9;;2;5;;4;279,3873819211998
76;9;;2;5;;5;154,2757773348461
76;9;;2;5;;6;9,1318029688978
76;9;;2;5;;7;51,8537478689595
76;9;;2;5;;9;5,8218486748942
76;9;;2;5;;11;416,380976172486
76;9;;2;6;;2;41,4474087173926
76;9;;2;6;;3;56,8406687504394
76;9;;2;6;;4;62,3676590876923
76;9;;2;6;;5;70,1011303319678
76;9;;2;6;;7;18,1164684074478
76;9;;2;6;;8;4,9905959723536
76;9;;2;6;;11;30,858001431157
76;9;;2;7;;10;1244,5404214027049
76;9;;2;8;;10;1361,5681321701298
76;9;;2;;2;1;117,3054790708641
76;9;;2;;2;2;4139,4334597587344
76;9;;2;;2;3;5554,0087067243514
76;9;;2;;2;4;425,8034913411645
76;9;;2;;2;5;285,3822349765161
76;9;;2;;2;6;37,8227346689373
76;9;;2;;2;7;7,2828296969139
76;9;;2;;2;8;33,2432692903877
76;9;;2;;2;11;922,9588024816685
76;9;;2;;3;1;4,2795079444635
76;9;;2;;3;2;255,8027058838663
76;9;;2;;3;3;692,9412830714458
76;9;;2;;3;4;470,7734616442219
76;9;;2;;3;5;170,4812454121156
76;9;;2;;3;6;30,8739413358349
76;9;;2;;3;7;22,9627640562352
76;9;;2;;3;8;19,7549049906446
76;9;;2;;3;9;15,5606045335155
76;9;;2;;3;11;548,864609707652
76;9;;2;;4;1;2249,6667179159263
76;9;;2;;4;2;4240,0704798880473
76;9;;2;;4;3;1401,537926068888
76;9;;2;;4;4;47,4961294105263
76;9;;2;;4;5;7,2296197124213
76;9;;2;;4;8;10,0471422826773
76;9;;2;;4;9;4,3806788633042
76;9;;2;;4;10;469,3239189745366
76;9;;2;;4;11;147,8187897872052
76;10;;1;1;;1;22,329081342392
76;10;;1;1;;2;140,1202149129661
76;10;;1;1;;3;152,8246827091145
76;10;;1;1;;4;56,7499271533013
76;10;;1;1;;5;53,4199457837574
76;10;;1;1;;6;1,9541502468449
76;10;;1;1;;10;12,4888745424504
76;10;;1;1;;11;85,9520935213301
76;10;;1;5;;1;12,0925026083799
76;10;;1;5;;2;34,4142644933278
76;10;;1;5;;3;52,9887232608081
76;10;;1;5;;4;21,4107028550811
76;10;;1;5;;5;15,2871916862121
76;10;;1;5;;9;2,5602900744603
76;10;;1;5;;11;19,9936687891487
76;10;;1;7;;10;21,4584968614367
76;10;;1;;2;2;69,9700387107634
76;10;;1;;2;3;130,9676988336796
76;10;;1;;2;4;50,2857273566652
76;10;;1;;2;6;1,9541502468449
76;10;;1;;2;11;68,7703085976125
76;10;;1;;3;3;10,973926860876
