INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_C02;INDICADORA_C03;INDICADORA_C04;INDICADORA_C05;INDICADORA_C06;INDICADORA_C07;INDICADORA_C08;INDICADORA_C09;INDICADORA_C10;V884;V878;V1883
76;;1;;7;;;;3;;;;;;;;15875,9978831533006;4702,924626249392866900093950073531605131;58502,9811332503305
76;;1;;7;;;;;4;;;;;;;34017,7625111870045;3517,68751112820255333415882243693350642;127754,8810487188871
76;;1;;7;;;;;;5;;;;;;32262,4166771288544;3616,287648857542803013344474778615088237;122249,8932892270409
76;;1;;7;;;;;;;6;;;;;14402,3190559996815;4810,047557061071271600561877678764067713;54233,750274288723
76;;1;;7;;;;;;;;7;;;;19086,0897441239511;4669,421434887705109581616697190761049091;73101,9713902064543
76;;1;;7;;;;;;;;;9;;;15712,7803939189743;3420,133940324597071168648238215133393632;61079,2780068408167
76;;1;;7;;;;;;;;;;10;;16819,1755165005629;5082,197201570010782400722219190748679495;62751,2483431128236
76;;1;;7;;;;;;;;;;;8;16086,4826727467877;4937,417784194057706861938134155303369058;61055,6970867516317
76;;1;;8;9999;;;;;;;;;;;18598,3152278569257;4945,361113953160713403629632352724897427;71148,9250941557523
76;;1;;8;;1;;;;;;;;;;14198,5447855790557;4969,445625472504637582130991343816987602;54223,5745230786546
76;;1;;8;;;2;;;;;;;;;17902,1136513465575;5032,411356222526225074734996036567309502;68743,1756445634602
76;;1;;8;;;;3;;;;;;;;10257,1204252889394;6099,181686522621526538737664249936215654;38434,865467733264
76;;1;;8;;;;;4;;;;;;;18515,1350876095013;4955,65634007342411219708136867586728235;70809,1543464057892
76;;1;;8;;;;;;5;;;;;;17756,3265079513075;5075,388043095498296909805143284780190354;68198,2977513220365
76;;1;;8;;;;;;;6;;;;;9388,0083340782463;6321,688956099626630490626680432454894919;35299,0548666442832
76;;1;;8;;;;;;;;7;;;;12009,6609531017011;5828,456891909386385455126037334868439343;46421,2580712551045
76;;1;;8;;;;;;;;;9;;;8860,0358818494538;4886,016748277974917358196503464633544522;35239,7744367317572
76;;1;;8;;;;;;;;;;10;;11322,7249843157125;6527,16262261049100939720266168708753782;43014,5987698552235
76;;1;;8;;;;;;;;;;;8;10107,5494101532071;6006,998101273805244440386464807249185324;38680,709743079958
76;;1;;9;9999;;;;;;;;;;;8506,7670536056566;5987,941325229736454446892869455378042326;33461,057242819858
76;;1;;9;;1;;;;;;;;;;6928,0708524802832;5626,951758720793612298921872709727080953;27302,2153893886344
76;;1;;9;;;2;;;;;;;;;8329,1990867407357;6057,024453262773456042623666505172059055;32913,2206868873109
76;;1;;9;;;;3;;;;;;;;5382,8950445774728;7511,107516604063510677211887527822389976;20632,7636638152534
76;;1;;9;;;;;4;;;;;;;8429,1744954997941;6003,007047309433191665861274409556918733;33206,906551945359
76;;1;;9;;;;;;5;;;;;;8189,819718352856;6067,238746557124330028486634069698617052;32457,194711948229
76;;1;;9;;;;;;;6;;;;;4864,0493652804414;7618,51151238707756966813814901602459417;18893,2348563920374
76;;1;;9;;;;;;;;7;;;;6014,0120066306159;7277,980285268753019200904563827520946866;23652,7457543397289
76;;1;;9;;;;;;;;;9;;;3962,6500978166371;5297,474841526789416197249251817043624031;16408,281177401193
